tau_3R_mean,tau_4X_mean,tau_5Y_mean,phi_X_mean,phi_Y_mean,lnL_mean,tau_3R_median,tau_4X_median,tau_5Y_median,phi_X_median,phi_Y_median,lnL_median,tau_3R_sd,tau_4X_sd,tau_5Y_sd,phi_X_sd,phi_Y_sd,lnL_sd,tau_3R_min,tau_4X_min,tau_5Y_min,phi_X_min,phi_Y_min,lnL_min,tau_3R_max,tau_4X_max,tau_5Y_max,phi_X_max,phi_Y_max,lnL_max,tau_3R_percent25,tau_4X_percent25,tau_5Y_percent25,phi_X_percent25,phi_Y_percent25,lnL_percent25,tau_3R_percent975,tau_4X_percent975,tau_5Y_percent975,phi_X_percent975,phi_Y_percent975,lnL_percent975,tau_3R_hpd25,tau_4X_hpd25,tau_5Y_hpd25,phi_X_hpd25,phi_Y_hpd25,lnL_hpd25,tau_3R_hpd975,tau_4X_hpd975,tau_5Y_hpd975,phi_X_hpd975,phi_Y_hpd975,lnL_hpd975,tau_3R_ess,tau_4X_ess,tau_5Y_ess,phi_X_ess,phi_Y_ess,lnL_ess,tau_3R_eff,tau_4X_eff,tau_5Y_eff,phi_X_eff,phi_Y_eff,lnL_eff,genome,model,dfe,divtime,percent,rep
0.002876,0.000772,0.000772,0.050594,0.240778,-452953.417795,0.002788,0.000880,0.000880,0.047769,0.241119,-452953.361500,0.000090,0.000220,0.000220,0.015829,0.055857,112.990318,0.002788,0.000457,0.000457,0.013043,0.140571,-453378.948000,0.002969,0.001338,0.001338,0.128782,0.404445,-452576.248000,0.002788,0.000496,0.000496,0.026923,0.162889,-453168.209000,0.002969,0.001140,0.001140,0.083973,0.345535,-452741.338000,0.002788,0.000508,0.000508,0.025150,0.156938,-453166.823000,0.002969,0.001140,0.001140,0.081191,0.333673,-452740.188000,25.524364,26.051956,26.051956,44.995249,28.031836,50.855346,0.000255,0.000261,0.000261,0.000450,0.000280,0.000509,DROSOPHILA-testing-redo,p1_p2,linkedancestor,1250,15percent,8
0.007107,0.001916,0.001916,0.017405,0.124536,-473922.708206,0.007115,0.002044,0.002044,0.017067,0.124574,-473922.733500,0.000332,0.000134,0.000134,0.004645,0.010386,82.281915,0.006406,0.001776,0.001776,0.003260,0.089379,-474273.245000,0.007914,0.002044,0.002044,0.041365,0.175198,-473582.308000,0.006524,0.001776,0.001776,0.009324,0.104468,-474083.199000,0.007759,0.002044,0.002044,0.027274,0.144680,-473761.782000,0.006406,0.001776,0.001776,0.008926,0.104297,-474081.954000,0.007595,0.002044,0.002044,0.026690,0.144477,-473760.771000,35.040287,25.526245,25.526245,128.567284,109.155368,830.424233,0.000350,0.000255,0.000255,0.001286,0.001092,0.008304,DROSOPHILA-testing-redo,p1_p2,linkedp1,5000,15percent,7
0.002669,0.000997,0.000997,0.061598,0.312013,-451525.297919,0.002578,0.000955,0.000955,0.060714,0.309520,-451524.528000,0.000136,0.000079,0.000079,0.019294,0.036216,80.544757,0.002578,0.000955,0.000955,0.010123,0.225413,-451882.959000,0.003015,0.001322,0.001322,0.149269,0.437246,-451182.843000,0.002578,0.000955,0.000955,0.028111,0.249447,-451684.782000,0.003015,0.001322,0.001322,0.102013,0.387638,-451369.771000,0.002578,0.000955,0.000955,0.024999,0.245804,-451684.940000,0.003015,0.001117,0.001117,0.097536,0.381022,-451370.073000,26.350675,28.482982,28.482982,61.670467,40.089191,686.651616,0.000264,0.000285,0.000285,0.000617,0.000401,0.006867,DROSOPHILA-testing-redo,p1_p2,linkedp1,1250,5percent,13
0.006341,0.002089,0.002089,0.123286,0.025494,-466847.973088,0.006301,0.002040,0.002040,0.122451,0.024971,-466847.476000,0.000284,0.000164,0.000164,0.012331,0.006837,79.750273,0.005850,0.001915,0.001915,0.083069,0.005345,-467175.899000,0.007206,0.002437,0.002437,0.169751,0.057714,-466476.738000,0.005879,0.001915,0.001915,0.101179,0.013431,-467005.385000,0.006927,0.002437,0.002437,0.149449,0.040111,-466692.373000,0.005935,0.001915,0.001915,0.100367,0.012512,-467006.739000,0.006927,0.002437,0.002437,0.148438,0.038902,-466694.133000,32.462845,25.943812,25.943812,93.792707,110.810596,5212.381255,0.000325,0.000259,0.000259,0.000938,0.001108,0.052124,DROSOPHILA-testing-redo,p2_p1,bgs,5000,NA,10
0.006732,0.001966,0.001966,0.022749,0.133325,-468905.715623,0.006712,0.001900,0.001900,0.022140,0.132962,-468905.277000,0.000306,0.000087,0.000087,0.006763,0.010877,80.598223,0.006084,0.001900,0.001900,0.003683,0.098936,-469244.512000,0.007568,0.002178,0.002178,0.055391,0.176513,-468525.730000,0.006129,0.001900,0.001900,0.011133,0.112974,-469065.396000,0.007307,0.002178,0.002178,0.037644,0.155879,-468748.880000,0.006234,0.001900,0.001900,0.010335,0.112006,-469062.324000,0.007389,0.002178,0.002178,0.036576,0.154686,-468746.260000,36.941724,26.304227,26.304227,81.480688,165.140604,3166.801964,0.000369,0.000263,0.000263,0.000815,0.001651,0.031668,DROSOPHILA-testing-redo,p1_p2,linkedancestor,5000,15percent,15
0.002882,0.000877,0.000877,0.081716,0.267427,-448830.913309,0.002802,0.000971,0.000971,0.076818,0.276576,-448843.916000,0.000260,0.000227,0.000227,0.026520,0.061912,118.419307,0.002601,0.000445,0.000445,0.021200,0.131632,-449292.439000,0.003478,0.001199,0.001199,0.167171,0.412856,-448382.051000,0.002601,0.000513,0.000513,0.041721,0.164224,-449036.115000,0.003478,0.001124,0.001124,0.136945,0.378682,-448591.194000,0.002601,0.000518,0.000518,0.038356,0.162089,-449038.761000,0.003253,0.001124,0.001124,0.132213,0.375783,-448593.934000,26.138683,25.657030,25.657030,38.395819,28.200245,46.306006,0.000261,0.000257,0.000257,0.000384,0.000282,0.000463,DROSOPHILA-testing-redo,p1_p2,linkedancestor,1250,10percent,19
0.006558,0.001645,0.001645,0.127824,0.018698,-466205.150288,0.006475,0.001600,0.001600,0.126956,0.018255,-466204.794000,0.000420,0.000217,0.000217,0.013731,0.004834,80.882182,0.005867,0.001385,0.001385,0.085476,0.004985,-466555.016000,0.007744,0.002074,0.002074,0.182075,0.041103,-465868.780000,0.005881,0.001385,0.001385,0.103783,0.010442,-466364.890000,0.007444,0.002074,0.002074,0.156437,0.029531,-466046.628000,0.005980,0.001385,0.001385,0.102164,0.009849,-466362.743000,0.007482,0.002074,0.002074,0.154323,0.028628,-466044.814000,29.822855,25.807256,25.807256,48.306945,130.358282,451.681306,0.000298,0.000258,0.000258,0.000483,0.001304,0.004517,DROSOPHILA-testing-redo,p2_p1,bgs,5000,NA,20
0.002630,0.001014,0.001014,0.081107,0.294849,-451522.779902,0.002643,0.001019,0.001019,0.080880,0.291802,-451522.316000,0.000121,0.000047,0.000047,0.020764,0.033028,78.592212,0.002492,0.000961,0.000961,0.022811,0.211068,-451837.436000,0.002838,0.001094,0.001094,0.162653,0.397058,-451186.349000,0.002492,0.000961,0.000961,0.043824,0.239028,-451678.697000,0.002838,0.001094,0.001094,0.123878,0.361730,-451370.358000,0.002492,0.000961,0.000961,0.042305,0.234101,-451676.467000,0.002838,0.001094,0.001094,0.121671,0.354670,-451368.365000,25.838926,25.839188,25.839188,59.155463,44.936781,8200.932083,0.000258,0.000258,0.000258,0.000592,0.000449,0.082009,DROSOPHILA-testing-redo,p1_p2,adaptiveint,1250,5percent,8
0.009527,0.002307,0.002307,0.009462,0.080733,-474042.782067,0.009486,0.002303,0.002303,0.009036,0.080539,-474042.336000,0.000461,0.000024,0.000024,0.003777,0.008389,75.763728,0.008578,0.002303,0.002303,0.000056,0.050176,-474351.082000,0.011105,0.002441,0.002441,0.027523,0.110358,-473721.641000,0.008648,0.002303,0.002303,0.003333,0.064910,-474191.861000,0.010437,0.002441,0.002441,0.017922,0.097427,-473895.486000,0.008635,0.002303,0.002303,0.002737,0.064583,-474191.486000,0.010362,0.002303,0.002303,0.016944,0.097086,-473895.162000,43.651962,36.587562,36.587562,65.308862,116.204999,7753.023833,0.000437,0.000366,0.000366,0.000653,0.001162,0.077530,DROSOPHILA-testing-redo,p1_p2,adaptiveint,20000,10percent,20
0.003007,0.000699,0.000699,0.044165,0.230258,-452696.874889,0.002774,0.000578,0.000578,0.041631,0.208000,-452688.408000,0.000296,0.000230,0.000230,0.012910,0.053704,109.689154,0.002570,0.000414,0.000414,0.013789,0.137178,-453201.532000,0.003418,0.001188,0.001188,0.097259,0.364498,-452283.270000,0.002570,0.000463,0.000463,0.024800,0.162505,-452923.989000,0.003418,0.001188,0.001188,0.075897,0.333498,-452502.028000,0.002570,0.000480,0.000480,0.022329,0.159460,-452921.107000,0.003418,0.001188,0.001188,0.071991,0.327992,-452500.023000,25.549298,26.066760,26.066760,47.611039,27.780062,55.265039,0.000255,0.000261,0.000261,0.000476,0.000278,0.000553,DROSOPHILA-testing-redo,p1_p2,linkedp1,1250,15percent,8
0.006507,0.002479,0.002479,0.005152,0.004083,-463208.569377,0.006488,0.002479,0.002479,0.004807,0.003606,-463208.391500,0.000241,0.000000,0.000000,0.002764,0.002740,74.891398,0.005647,0.002479,0.002479,0.000000,0.000000,-463538.537000,0.007567,0.002479,0.002479,0.023506,0.019114,-462903.965000,0.006053,0.002479,0.002479,0.000831,0.000282,-463356.400000,0.006983,0.002479,0.002479,0.011405,0.010659,-463062.413000,0.006053,0.002479,0.002479,0.000319,0.000000,-463355.987000,0.006963,0.002479,0.002479,0.010415,0.009304,-463062.134000,62.058163,1.000000,1.000000,1539.421743,645.525000,11432.582621,0.000621,0.000010,0.000010,0.015394,0.006455,0.114326,DROSOPHILA-testing-redo,nomig,linkedp1,5000,15percent,16
