tau_3R_mean,tau_4X_mean,tau_5Y_mean,phi_X_mean,phi_Y_mean,lnL_mean,tau_3R_median,tau_4X_median,tau_5Y_median,phi_X_median,phi_Y_median,lnL_median,tau_3R_sd,tau_4X_sd,tau_5Y_sd,phi_X_sd,phi_Y_sd,lnL_sd,tau_3R_min,tau_4X_min,tau_5Y_min,phi_X_min,phi_Y_min,lnL_min,tau_3R_max,tau_4X_max,tau_5Y_max,phi_X_max,phi_Y_max,lnL_max,tau_3R_percent25,tau_4X_percent25,tau_5Y_percent25,phi_X_percent25,phi_Y_percent25,lnL_percent25,tau_3R_percent975,tau_4X_percent975,tau_5Y_percent975,phi_X_percent975,phi_Y_percent975,lnL_percent975,tau_3R_hpd25,tau_4X_hpd25,tau_5Y_hpd25,phi_X_hpd25,phi_Y_hpd25,lnL_hpd25,tau_3R_hpd975,tau_4X_hpd975,tau_5Y_hpd975,phi_X_hpd975,phi_Y_hpd975,lnL_hpd975,tau_3R_ess,tau_4X_ess,tau_5Y_ess,phi_X_ess,phi_Y_ess,lnL_ess,tau_3R_eff,tau_4X_eff,tau_5Y_eff,phi_X_eff,phi_Y_eff,lnL_eff,genome,model,dfe,divtime,percent,rep
0.004306,0.001147,0.001147,0.104132,0.269504,-484437.712372,0.004295,0.001109,0.001109,0.103494,0.268356,-484437.339000,0.000150,0.000050,0.000050,0.017981,0.023445,84.614530,0.004010,0.001109,0.001109,0.041288,0.194104,-484834.736000,0.004664,0.001259,0.001259,0.183381,0.362325,-484042.319000,0.004010,0.001109,0.001109,0.070500,0.227316,-484604.750000,0.004664,0.001259,0.001259,0.140918,0.318290,-484273.213000,0.004010,0.001109,0.001109,0.068984,0.225404,-484604.338000,0.004552,0.001259,0.001259,0.139123,0.315895,-484272.887000,125.719770,123.918109,123.918109,340.086495,285.465599,2006.343470,0.000256,0.000252,0.000252,0.000692,0.000581,0.004083,drosophila,p1_p2,balancing,1250,5percent,6
0.005578,0.002914,0.002914,0.276582,0.245491,-499245.491949,0.005573,0.002893,0.002893,0.279449,0.241489,-499245.132000,0.000248,0.000062,0.000062,0.045917,0.049936,81.530069,0.005364,0.002893,0.002893,0.129846,0.093773,-499616.905000,0.006141,0.003098,0.003098,0.433176,0.402048,-498868.870000,0.005364,0.002893,0.002893,0.184716,0.155812,-499406.583000,0.006141,0.003098,0.003098,0.359987,0.343215,-499086.931000,0.005364,0.002893,0.002893,0.185156,0.157998,-499403.879000,0.005994,0.003098,0.003098,0.360383,0.345246,-499084.447000,124.215085,125.411074,125.411074,168.195733,161.181562,25014.819162,0.000252,0.000255,0.000255,0.000342,0.000327,0.050807,drosophila,nomig,balancing,1250,15percent,12
0.010148,0.002047,0.002047,0.020891,0.119351,-518899.926723,0.010125,0.001975,0.001975,0.020644,0.119131,-518899.335000,0.000391,0.000091,0.000091,0.004673,0.008877,84.463414,0.008947,0.001975,0.001975,0.005505,0.084102,-519296.117000,0.011702,0.002162,0.002162,0.047257,0.158776,-518503.823000,0.009434,0.001975,0.001975,0.012488,0.102509,-519066.634000,0.010919,0.002162,0.002162,0.030716,0.137387,-518735.754000,0.009434,0.001975,0.001975,0.012068,0.102129,-519065.255000,0.010917,0.002162,0.002162,0.030150,0.136959,-518734.484000,244.209597,125.591146,125.591146,405.005587,552.880167,7438.917551,0.000488,0.000251,0.000251,0.000810,0.001106,0.014878,drosophila,p1_p2,linkedancestor,5000,5percent,1
0.013589,0.002528,0.002528,0.004224,0.073214,-526481.169498,0.013572,0.002472,0.002472,0.003905,0.073001,-526480.820500,0.000675,0.000086,0.000086,0.002394,0.006929,80.803386,0.011436,0.002472,0.002472,0.000000,0.047342,-526850.565000,0.016740,0.002660,0.002660,0.018534,0.106797,-526108.468000,0.012353,0.002472,0.002472,0.000576,0.060190,-526640.271000,0.014917,0.002660,0.002660,0.009711,0.087380,-526324.155000,0.012344,0.002472,0.002472,0.000124,0.059886,-526639.641000,0.014867,0.002660,0.002660,0.008739,0.087041,-526323.570000,212.843431,125.736201,125.736201,257.437223,794.743080,18438.433343,0.000426,0.000251,0.000251,0.000515,0.001589,0.036877,drosophila,p1_p2,bgs,20000,NA,20
0.010177,0.002042,0.002042,0.018289,0.122661,-518487.470263,0.010120,0.001986,0.001986,0.018073,0.122159,-518486.997000,0.000461,0.000148,0.000148,0.003868,0.009178,85.831623,0.009020,0.001986,0.001986,0.004391,0.089114,-518909.275000,0.012276,0.002508,0.002508,0.039126,0.173805,-518090.336000,0.009421,0.001986,0.001986,0.011325,0.105988,-518657.131000,0.011341,0.002508,0.002508,0.026472,0.142410,-518320.787000,0.009355,0.001986,0.001986,0.011004,0.105045,-518655.656000,0.011206,0.002508,0.002508,0.026073,0.141201,-518319.353000,196.395048,126.845457,126.845457,495.755020,393.048814,3789.950103,0.000393,0.000254,0.000254,0.000992,0.000786,0.007580,drosophila,p1_p2,linkedp1,5000,15percent,7
0.011386,0.004553,0.004553,0.002673,0.001298,-512653.066917,0.011392,0.004493,0.004493,0.002046,0.000910,-512652.653000,0.000451,0.000274,0.000274,0.002351,0.001275,79.386410,0.009798,0.004054,0.004054,0.000000,0.000000,-513038.108000,0.013178,0.005207,0.005207,0.023533,0.014353,-512294.291000,0.010504,0.004054,0.004054,0.000085,0.000033,-512810.027000,0.012294,0.004992,0.004992,0.008760,0.004727,-512498.943000,0.010522,0.004054,0.004054,0.000000,0.000000,-512807.559000,0.012294,0.004992,0.004992,0.007340,0.003856,-512496.576000,288.410415,127.459618,127.459618,1296.759580,5079.844849,69353.888934,0.000577,0.000255,0.000255,0.002594,0.010160,0.138708,drosophila,nomig,linkedp1,5000,15percent,13
0.038045,0.004419,0.004419,0.000661,0.000645,-572715.392113,0.038019,0.004420,0.004420,0.000458,0.000447,-572715.075500,0.001484,0.000173,0.000173,0.000663,0.000646,80.071183,0.031706,0.004078,0.004078,0.000000,0.000000,-573095.610000,0.044270,0.004686,0.004686,0.009648,0.008368,-572303.868000,0.035172,0.004078,0.004078,0.000017,0.000016,-572872.910000,0.041009,0.004686,0.004686,0.002442,0.002384,-572559.280000,0.035290,0.004190,0.004190,0.000000,0.000000,-572873.520000,0.041118,0.004686,0.004686,0.001983,0.001936,-572559.979000,474.069394,130.832056,130.832056,126745.967894,129097.281580,78885.768966,0.000948,0.000262,0.000262,0.253492,0.258195,0.157772,drosophila,nomig,linkedancestor,20000,5percent,4
0.010168,0.002141,0.002141,0.011480,0.111678,-527050.844679,0.010105,0.002071,0.002071,0.011226,0.111142,-527050.518000,0.000429,0.000154,0.000154,0.003489,0.009451,85.060738,0.009208,0.002071,0.002071,0.000997,0.079088,-527475.397000,0.011989,0.002509,0.002509,0.032878,0.159541,-526688.236000,0.009451,0.002071,0.002071,0.005420,0.094618,-527218.990000,0.011232,0.002509,0.002509,0.018997,0.131909,-526884.952000,0.009437,0.002071,0.002071,0.004963,0.093738,-527216.840000,0.011142,0.002509,0.002509,0.018387,0.130771,-526882.916000,189.811473,126.037590,126.037590,778.467309,380.997395,4335.382848,0.000380,0.000252,0.000252,0.001557,0.000762,0.008671,drosophila,p1_p2,balancing,5000,15percent,20
0.018816,0.002924,0.002924,0.002393,0.060898,-564309.621760,0.018765,0.002826,0.002826,0.002197,0.060750,-564309.235000,0.000827,0.000119,0.000119,0.001240,0.005548,83.145585,0.015811,0.002826,0.002826,0.000008,0.040231,-564699.921000,0.021813,0.003275,0.003275,0.011478,0.084619,-563912.732000,0.017342,0.002826,0.002826,0.000571,0.050442,-564473.677000,0.020590,0.003051,0.003051,0.005334,0.072261,-564147.273000,0.017320,0.002826,0.002826,0.000333,0.049950,-564472.694000,0.020544,0.003051,0.003051,0.004823,0.071723,-564146.480000,259.030613,112.476396,112.476396,1689.479916,1926.533192,24997.150426,0.000585,0.000254,0.000254,0.003818,0.004354,0.056495,drosophila,p1_p2,linkedp1,20000,15percent,7
0.010143,0.002070,0.002070,0.021980,0.120997,-517237.137865,0.010102,0.001980,0.001980,0.021732,0.120642,-517236.517500,0.000460,0.000154,0.000154,0.004773,0.009588,85.135075,0.008796,0.001980,0.001980,0.006080,0.082720,-517674.960000,0.012703,0.002603,0.002603,0.045424,0.164255,-516839.455000,0.009370,0.001980,0.001980,0.013372,0.103101,-517405.404000,0.011315,0.002603,0.002603,0.031981,0.140971,-517071.874000,0.009264,0.001980,0.001980,0.012884,0.102622,-517403.397000,0.011082,0.002381,0.002381,0.031363,0.140425,-517070.016000,197.931542,127.029461,127.029461,448.415587,393.135877,3493.423009,0.000396,0.000254,0.000254,0.000897,0.000786,0.006987,drosophila,p1_p2,adaptiveint,5000,5percent,1
0.018012,0.003293,0.003293,0.002561,0.061054,-560033.056942,0.018011,0.003329,0.003329,0.002311,0.060859,-560032.685500,0.000775,0.000134,0.000134,0.001499,0.006216,82.458111,0.015339,0.003131,0.003131,0.000000,0.035102,-560451.519000,0.021176,0.003953,0.003953,0.012326,0.091776,-559640.040000,0.016609,0.003131,0.003131,0.000394,0.049466,-560195.856000,0.019576,0.003743,0.003743,0.006140,0.073826,-559872.693000,0.016592,0.003131,0.003131,0.000094,0.049158,-560192.759000,0.019538,0.003528,0.003528,0.005456,0.073474,-559869.725000,273.286567,130.040428,130.040428,839.551436,1075.687936,11440.449704,0.000547,0.000260,0.000260,0.001679,0.002151,0.022881,drosophila,p1_p2,linkedp1,20000,5percent,15
0.009771,0.002107,0.002107,0.019759,0.116270,-516645.672548,0.009747,0.002077,0.002077,0.019582,0.115966,-516645.237000,0.000350,0.000084,0.000084,0.004056,0.008883,84.066816,0.008850,0.002077,0.002077,0.004517,0.083969,-517041.100000,0.011490,0.002689,0.002689,0.040751,0.155203,-516235.319000,0.009124,0.002077,0.002077,0.012396,0.099794,-516811.256000,0.010524,0.002286,0.002286,0.028203,0.134466,-516482.670000,0.009087,0.002077,0.002077,0.012020,0.099059,-516811.238000,0.010451,0.002286,0.002286,0.027748,0.133653,-516482.655000,272.659909,132.946866,132.946866,1210.342244,655.056472,14558.310415,0.000545,0.000266,0.000266,0.002421,0.001310,0.029117,drosophila,p1_p2,linkedp1,5000,15percent,14
