AIC_SI,AIC_SI2N,AIC_IM,AIC_IM2N,AIC_IM2m,wAIC_SI,wAIC_SI2N,wAIC_IM,wAIC_IM2N,wAIC_IM2m,best_model
1012.648600499746,831.5090273212919,907.5805762019875,934.4814168634803,926.9974604520698,4.634911618423891e-40,1.0,3.0288170796878325e-17,4.3634471153447285e-23,1.8405609466801604e-21,SI2N
1216.3928286601854,933.9156910263348,1103.7974745024826,1104.2060083912484,847.8934019558753,9.58001521669157e-81,2.091689748978667e-19,2.6985887046241635e-56,2.200010185178281e-56,1.0,IM2m
1225.2521436091997,949.7677229379805,1110.2815424683772,1098.0713834350759,1054.842797981847,1.5111867118168224e-60,1.0,1.3959406506748715e-35,6.255604739719077e-33,1.5248859447426476e-23,SI2N
1179.1002428898682,1179.7896182300842,1047.0493779185435,1051.5608571358152,782.2750010217433,6.768518002716325e-87,4.795099631430453e-87,3.1987078943716494e-58,3.352118150002307e-59,1.0,IM2m
1013.0547271747491,1017.0486670161432,902.38887904881,904.0320015874532,916.6185877635626,6.466746172522857e-25,8.778348081607477e-26,0.694175693511302,0.3052599839242729,0.0005643225644250523,IM
1013.3609500728522,822.044757891377,908.5980807212617,916.5182770054258,877.815007689928,2.8590168729281876e-42,0.9999999999992244,1.6039275690045006e-19,3.057285393261803e-21,7.756113023317731e-13,SI2N
1227.6120572799077,1231.6097571107866,1112.8545269836006,1124.4118912071772,989.0027299249203,1.5368904060324441e-52,2.0823484842541163e-53,1.2762154026107017e-27,3.947064541920022e-30,1.0,IM2m
1121.3580690234298,1125.3521063331643,994.1330775499159,994.9866870358821,800.926633847962,2.6254148505175815e-70,3.5637214855928086e-71,1.111101710167674e-42,7.250949347550867e-43,1.0,IM2m
997.4484546672327,780.2898672400349,880.4465605995659,886.4023687330523,897.4411304500697,6.992168591473017e-48,1.0,1.783406618896043e-22,9.077433380853771e-24,3.638533852844359e-26,SI2N
1105.2864502867376,1109.286292668416,986.2884843675986,995.129241398232,849.0365358821986,2.2700639556624114e-56,3.0724396108941505e-57,1.5707897951733067e-30,1.8896095450206338e-32,1.0,IM2m
986.6979393067527,860.7474168648181,886.2803922892327,905.4267902326573,900.779758735348,4.468793786470724e-28,0.9999971429213478,2.854851959429942e-06,1.986077104600629e-10,2.028085094373179e-09,SI2N
1137.954968201286,1141.9136211622967,1012.2693788001071,1020.8477845385212,778.308019756033,8.01045948938974e-79,1.106743194357984e-79,1.570132829658208e-51,2.1535713077181497e-53,1.0,IM2m
1038.425316731667,809.4411974123111,925.1868637810242,923.4950452445559,929.8173109466202,1.8911686853814353e-50,1.0,7.347640442763087e-26,1.7120704177359525e-25,7.255361724080938e-27,SI2N
