AIC_SI,AIC_SI2N,AIC_IM,AIC_IM2N,AIC_IM2m,wAIC_SI,wAIC_SI2N,wAIC_IM,wAIC_IM2N,wAIC_IM2m,best_model
586.3900572356238,553.410879469211,549.3003192216779,559.3658032348237,562.7822496961642,7.776414307268447e-09,0.11275007811929962,0.8804681855271906,0.00574144998139612,0.0010402785956995385,IM
713.1523446101446,717.1523542842843,655.6707583013429,658.7038296060668,648.9925859423303,1.1207156340775481e-14,1.5167163411751963e-15,0.03399877762363387,0.0074617421517829685,0.9585394802245704,IM2m
742.3004655715424,746.2994383730628,681.957003783826,689.7424164009411,679.8113329647929,1.9982122359137154e-14,2.7056754652084757e-15,0.2535466347669412,0.0051698385569238356,0.7412835266761123,IM2m
704.1038922515158,627.7962683563799,643.7729552527771,648.4275541232441,650.1767091667452,2.690557422579145e-17,0.9996138336868572,0.00033926478149747295,3.30982838510167e-05,1.3803247794309514e-05,SI2N
633.8598664634578,635.413655519094,586.5434028632977,595.6731618790648,589.7105329347501,4.370697695740707e-11,2.0097857499433525e-11,0.8226030045282415,0.008564229772260635,0.16883276563569288,IM
654.0651909750846,658.0647090001495,609.789981064634,613.2436150826045,612.2846035806739,1.6591491036686476e-10,2.2459553206410553e-11,0.6825352588652893,0.12138862528677523,0.19607611565956082,IM
721.7918807250626,725.7917670806437,671.3104530027304,671.3752492406209,668.4575772771817,1.7803189753089978e-12,2.409536639055323e-13,0.16307995011874565,0.15788113710973334,0.6790389127694997,IM2m
642.3107237620497,629.375941805944,606.0930152795792,609.8711251232003,610.4818647962927,1.081789816859985e-08,6.9645827539688225e-06,0.7919875591373793,0.11976012234798618,0.08824534311398242,IM
687.8830219330148,635.1676233884463,635.1994979695471,643.1766600989336,661.2809106287887,1.7841877624692507e-12,0.4993946734942735,0.4914987623262724,0.00910549754316327,1.0666345067799993e-06,SI2N
816.4439003493304,820.4438877375717,744.9270935670022,749.5955246186294,697.5003875528312,1.4850612534825936e-26,2.0098245273089176e-27,5.028305334901645e-11,4.871746918678439e-12,0.9999999999448452,IM2m
746.6288612338955,750.6287500634021,687.5030288053421,703.4743246038337,692.7067069944278,1.3483148758134995e-13,1.8248471878656004e-14,0.9306849839803765,0.0003167232096207199,0.0689982928098497,IM
730.5231465581551,734.5232028511944,676.703154372267,684.1558220173431,684.0779576431835,1.960256391309601e-12,2.652843869969727e-13,0.9531816866807834,0.022953529373936937,0.02386478394305415,IM
827.3251538895073,831.2540137795474,751.7916186990919,761.1252463023079,696.8016076479684,4.541214903100519e-29,6.368409319465768e-30,1.1456997553336769e-12,1.0772074249394036e-14,0.9999999999988436,IM2m
729.2442284566367,733.244182866578,672.6959464956701,678.2294970552891,679.0886692486908,4.762291370880076e-13,6.445207432351697e-14,0.9059815878696349,0.05695398741946321,0.03706442471036113,IM
606.007976129461,609.9982269025103,574.2578961151617,580.1647887057194,573.5586874310691,5.161116830008415e-08,7.018943460210063e-09,0.4047491684903601,0.021111570242113426,0.5741392026374147,IM2m
691.4559491709413,695.4541678566477,639.3822508727519,645.8807577378138,654.9599249042574,4.738420915785711e-12,6.418469477998988e-13,0.9622624708969103,0.0373388305884203,0.0003986985092891031,IM
721.3232011623688,622.8012612955775,658.782209974652,661.9824716003939,669.0586638225033,4.0386161408661865e-22,0.9999999814301216,1.5375748244837422e-08,3.103903975046872e-09,9.022619849974393e-11,SI2N
779.1831871083443,783.1249599693656,711.519670776753,715.9202054480559,742.9479342699722,1.8256962810963454e-15,2.5438027335926004e-16,0.9002733937496825,0.09972647141187828,1.348384370809207e-07,IM
729.5814919054096,665.4686235993626,674.5835162253884,682.9016806721608,671.8783817935162,1.1386110153212018e-14,0.9512788545559806,0.009977783076334165,0.00015587181715903057,0.038587490550514844,SI2N
674.015516291825,678.0155094842473,619.712467473965,626.7450644823107,621.1497251554711,1.0646826325596755e-12,1.4408961608435429e-13,0.6591395874463889,0.01958251007923676,0.3212779024731657,IM
714.2831180905148,718.2769711828329,658.5173863348111,662.9184897937273,669.507091482342,6.972825693428789e-13,9.465741259137388e-14,0.8969817340564132,0.09933358873806857,0.00368467720472621,IM
718.6328730111,672.5939654189712,661.8513754309756,678.5925191893124,672.3256075399311,4.630726578318771e-13,0.0046011977510857505,0.9899076384390929,0.00022924585816566377,0.005261917951192648,IM
701.5743529120641,705.5742095227245,650.1263744494515,653.2472721030018,661.0023346933314,5.5444086121889965e-12,7.504079082287796e-13,0.823458667440353,0.17296072234521218,0.0035806102081399256,IM
646.8690557080414,650.8692780144145,599.4147670799966,603.9161696771955,615.8654439594429,4.485768193593225e-11,6.0701523358625266e-12,0.9044918836878024,0.09526590988171596,0.00024220637955371825,IM
