L,nu1,nu2,T,m12,m21,theta0,model,genome,dfe,divtime,percent
-152.56316069695583,0.6195034572815212,0.6440225694608653,4.740597649675514,0.0,0.0,1109.498236326616,nomig,drosophila,linkedp1,20000,10
-144.52249053444507,1.1348087706460337,1.1166355093530982,9.015097952033582,0.0,0.0,631.1083782807513,nomig,drosophila,linkedp1,20000,10
-150.4970159314128,1.865529659838411,1.913216978926985,15.999999999999998,0.0,0.0,373.3486109881076,nomig,drosophila,linkedp1,20000,10
-157.73711238846673,0.9118990823675746,0.8978493505364117,7.009705252800988,4.418928949930499e-06,0.0,787.641647762585,nomig,drosophila,linkedp1,20000,10
-154.46172625971002,0.7504040376764408,0.724967582454417,5.5677564622217135,1.1754943873488416e-05,0.0,962.600754393466,nomig,drosophila,linkedp1,20000,10
-149.06008547030035,1.8997237901468167,1.8874108026890968,16.0,0.0,0.0,373.04623740974847,nomig,drosophila,linkedp1,20000,10
-158.60211288157203,0.6399901080358364,0.6220000921219287,4.799065862673335,0.0,0.0,1102.837463850337,nomig,drosophila,linkedp1,20000,10
-158.682511301062,0.4878802576765595,0.5038738892218477,3.378750326554933,0.0,0.0,1439.171721167878,nomig,drosophila,linkedp1,20000,10
-140.91269369980074,1.4312147891652078,1.5047768656687022,12.7094911416044,0.0,0.0,469.2176935435696,nomig,drosophila,linkedp1,20000,10
-147.70268391417923,1.0919459263783131,1.139064321603496,9.360394519544682,0.0,0.0,619.6721830265203,nomig,drosophila,linkedp1,20000,10
-149.08979452206785,0.6483484213536428,0.6552438004312127,4.885442637266891,2.217009860492537e-05,0.0,1079.741807774984,nomig,drosophila,linkedp1,20000,10
-154.47320923804358,0.4491630181867458,0.4519796371923829,3.0747027222397487,4.8747943149165936e-05,7.193252257438985e-05,1560.1998993969275,nomig,drosophila,linkedp1,20000,10
-147.94203376841222,1.933188722044132,1.8573432282326352,16.0,0.0,0.0,372.9240471030573,nomig,drosophila,linkedp1,20000,10
-149.29259584450327,1.9279593354773887,1.8613474244856196,16.0,0.0,0.0,372.9681171290487,nomig,drosophila,linkedp1,20000,10
-146.20471938617948,1.0782650598869,1.0608499880878224,8.649236325168749,0.0,0.0,658.3948088281569,nomig,drosophila,linkedp1,20000,10
-148.36342857171286,1.8599837842300209,1.9081019745093573,16.0,0.0,0.0,373.73361816632087,nomig,drosophila,linkedp1,20000,10
-145.65772006622498,1.814221709433248,1.8628489773285943,16.0,0.0,0.0,377.0532024799658,nomig,drosophila,linkedp1,20000,10
-146.19797095895683,1.8253445730893063,1.896718646481501,15.929176800442018,0.0,0.0,376.4058755492575,nomig,drosophila,linkedp1,20000,10
-145.80063516709313,1.8028130784751493,1.8176906792938976,15.130837357043085,0.0,0.0,392.0695913571423,nomig,drosophila,linkedp1,20000,10
-147.62370328852606,1.7712989350757204,1.7484893166052802,14.69021648241116,0.0,0.0,403.15628560029216,nomig,drosophila,linkedp1,20000,10
-145.41301499852946,1.3043821905537614,1.3441800595076356,11.303776808175163,0.0,0.0,521.8634501998331,nomig,drosophila,linkedp1,20000,10
-145.57831721589466,1.8870318303912257,1.8928348115465103,16.0,0.0,0.0,373.3081815599927,nomig,drosophila,linkedp1,20000,10
-157.85886761404737,0.6297000533218355,0.6309535072722742,4.763058193818452,0.0,0.0,1107.6557244796525,nomig,drosophila,linkedp1,20000,10
-145.47878782625375,1.9758178252632908,1.925878153058812,16.0,0.0,0.0,368.9656849583005,nomig,drosophila,linkedp1,20000,10
-146.45333252739348,1.9127356339176835,1.853516782725711,16.0,0.0,0.0,373.7999849697831,nomig,drosophila,linkedp1,20000,10
-158.0188974570515,1.9107667880906385,1.919423860992352,16.0,0.0,0.0,371.5019801241013,nomig,drosophila,linkedp1,20000,10
-144.08953832502596,1.6976290868908686,1.7185384518999154,14.26837426821126,0.0,0.0,414.694379952937,nomig,drosophila,linkedp1,20000,10
-157.93535435455067,0.6953855163723673,0.6683736566540022,5.093310545098898,0.0,0.0,1038.929835537925,nomig,drosophila,linkedp1,20000,10
-144.86456024962558,1.4921614181120102,1.516657095139949,12.588762083197336,0.0,0.0,467.7305455836946,nomig,drosophila,linkedp1,20000,10
-150.88946586379512,1.830317800509208,1.952529589801663,15.99849478158785,0.0,0.0,373.2219747831595,nomig,drosophila,linkedp1,20000,10
-148.60937516218073,1.8529641429904649,1.8518328571624976,15.964503097667665,0.0,0.0,376.53835509511913,nomig,drosophila,linkedp1,20000,10
-152.2850411428136,0.6920418755294435,0.7054937631104962,5.260419839726098,0.0,1.4699260170807176e-05,1012.1788618292396,nomig,drosophila,linkedp1,20000,10
-157.25591720803916,0.6696344968521738,0.6782707389383523,5.105644298691531,2.4227920557207496e-05,0.0,1042.066170820577,nomig,drosophila,linkedp1,20000,10
-146.1377061346129,1.1697197202829606,1.212018027710287,9.797651111853206,0.0,0.0,589.4467223094676,nomig,drosophila,linkedp1,20000,10
-153.70270841316372,0.5547750856241066,0.5519995585470293,4.173824036755006,0.0,4.288340588269931e-05,1243.7470497831362,nomig,drosophila,linkedp1,20000,10
-149.30791065290742,0.6333420050591118,0.6321104235417995,4.817849736523623,0.0,0.0,1099.4736496666428,nomig,drosophila,linkedp1,20000,10
-148.42741511376605,1.8404521242589509,1.905402232402932,16.0,0.0,0.0,374.5390579970744,nomig,drosophila,linkedp1,20000,10
-151.7539859318656,0.6944464600349668,0.6930601722190677,5.15129195097304,2.017624773206065e-05,0.0,1026.2101128187287,nomig,drosophila,linkedp1,20000,10
-144.00981487221298,1.7440290289540148,1.776530469748808,14.62669244943446,0.0,0.0,404.1591285228899,nomig,drosophila,linkedp1,20000,10
-154.08240423791187,1.876146431681893,1.8811380230490533,15.999985482924066,0.0,0.0,374.12464921134,nomig,drosophila,linkedp1,20000,10
