,MIG12$,MIG21$,TDIV$,NANC$,V1$,V2$,MaxEstLhood,MaxObsLhood,time,genome,model,dfe,percent,replicate
0,3.29003e-11,1.40384e-11,2109553,64503,3.5860401,3.6952877,-27334.62,-27326.433,20000,scaled,nomig,linkedancestor,5percent,6
0,1.15054e-10,1.88279e-10,2047114,71009,3.3887526,3.3913894,-27436.271,-27425.471,20000,scaled,nomig,linkedancestor,5percent,7
0,2.96903e-10,1.94958e-10,1929658,162533,1.5096922,1.5303178,-27511.629,-27499.712,20000,scaled,nomig,linkedancestor,5percent,8
0,1.92123e-10,1.78057e-10,2033934,71682,3.4468357,3.4527318,-27627.492,-27617.956,20000,scaled,nomig,linkedancestor,5percent,9
0,1.46704e-10,6.79601e-10,1994274,79728,2.956179,3.0523607,-27315.925,-27303.631,20000,scaled,nomig,linkedancestor,5percent,10
0,2.02932e-10,1.12594e-10,2068147,67152,3.619673,3.5603904,-27441.546,-27435.36,20000,scaled,nomig,linkedancestor,5percent,11
0,1.41263e-10,2.74452e-10,2015250,93063,2.586374,2.5546192,-27488.178,-27476.422,20000,scaled,nomig,linkedancestor,5percent,12
0,6.95958e-10,3.0611e-10,2059567,103605,2.2268232,2.3928045,-27433.91,-27421.761,20000,scaled,nomig,linkedancestor,5percent,13
0,1.16928e-10,4.21411e-10,1979648,70689,3.3774369,3.3363751,-27434.879,-27423.772,20000,scaled,nomig,linkedancestor,5percent,14
0,5.69718e-10,1.071e-10,2048334,95252,2.5440011,2.5089184,-27443.444,-27432.102,20000,scaled,nomig,linkedancestor,5percent,15
0,4.76547e-10,7.45246e-11,2049735,64940,3.6772917,3.8801566,-27575.128,-27565.199,20000,scaled,nomig,linkedancestor,5percent,16
0,2.10096e-10,8.50302e-11,1878039,267087,0.8902785,0.885815,-27303.285,-27294.346,20000,scaled,nomig,linkedancestor,5percent,17
0,3.71111e-10,2.44629e-10,2068461,67941,3.5679237,3.508942,-27382.401,-27372.8,20000,scaled,nomig,linkedancestor,5percent,18
0,2.80855e-10,2.30316e-10,2065301,67593,3.4580102,3.6507174,-27388.624,-27377.882,20000,scaled,nomig,linkedancestor,5percent,19
0,5.33283e-10,1.75352e-10,1564450,513910,0.4546303,0.468407,-27423.39,-27409.065,20000,scaled,nomig,linkedancestor,5percent,20
0,7.12565e-10,5.09288e-11,1888577,240201,1.0134894,0.9992636,-27463.74,-27453.747,20000,scaled,nomig,linkedancestor,5percent,21
0,4.17611e-10,9.73466e-11,2031709,101665,2.3329507,2.3546998,-27415.335,-27407.162,20000,scaled,nomig,linkedancestor,5percent,22
0,1.04967e-10,2.61443e-10,2015050,68311,3.4702971,3.6014069,-27432.302,-27424.159,20000,scaled,nomig,linkedancestor,5percent,23
0,3.19196e-10,5.30263e-11,1959691,186563,1.2912937,1.2582054,-27380.84,-27372.936,20000,scaled,nomig,linkedancestor,5percent,24
0,2.15563e-10,5.93218e-11,2050410,73598,3.2442022,3.210683,-27399.021,-27390.358,20000,scaled,nomig,linkedancestor,5percent,25
0,6.62116e-11,4.93806e-12,2116657,65259,3.5392147,3.6755257,-27375.285,-27364.655,20000,scaled,nomig,linkedancestor,5percent,26
0,1.27218e-10,1.12187e-10,2046656,65803,3.5784222,3.605109,-27432.726,-27423.183,20000,scaled,nomig,linkedancestor,5percent,27
0,1.7232e-10,1.03035e-11,2063801,86750,2.8118995,2.7982867,-27485.594,-27474.46,20000,scaled,nomig,linkedancestor,5percent,28
0,2.12816e-10,4.75309e-11,2063047,72211,3.4177654,3.3647018,-27508.331,-27502.568,20000,scaled,nomig,linkedancestor,5percent,29
0,5.89216e-11,2.11371e-11,2091437,87296,2.8079708,2.694723,-27404.324,-27396.489,20000,scaled,nomig,linkedancestor,5percent,30
0,1.67987e-11,1.4275e-10,2060978,60544,4.0276537,3.9053801,-27425.889,-27417.973,20000,scaled,nomig,linkedancestor,5percent,31
0,9.06602e-11,3.35755e-11,2030281,123533,1.9563788,1.9254632,-27404.421,-27396.855,20000,scaled,nomig,linkedancestor,5percent,32
0,7.06499e-10,1.27806e-10,1984126,146135,1.6574597,1.6346754,-27481.714,-27470.868,20000,scaled,nomig,linkedancestor,5percent,33
0,4.229e-10,2.73792e-10,2065218,96762,2.3497483,2.4794457,-27412.661,-27402.086,20000,scaled,nomig,linkedancestor,5percent,34
0,2.36109e-10,1.26811e-10,2020727,95923,2.4452226,2.5542277,-27514.943,-27501.169,20000,scaled,nomig,linkedancestor,5percent,35
0,2.57382e-10,7.91215e-11,2059404,83290,2.8969132,2.9188855,-27518.057,-27513.24,20000,scaled,nomig,linkedancestor,5percent,36
0,2.012e-10,3.22759e-10,2064750,82991,2.8768547,2.8561953,-27371.753,-27362.543,20000,scaled,nomig,linkedancestor,5percent,37
0,1.24834e-10,2.42984e-11,2137046,54549,4.4557741,4.2642671,-27462.576,-27455.028,20000,scaled,nomig,linkedancestor,5percent,38
