,TDIV$,NANC$,V1$,V2$,MaxEstLhood,MaxObsLhood,time,genome,model,dfe,percent,replicate
0,2078595,94976,2.52877,2.5052269,-27344.744,-27338.053,20000,scaled,nomig,neutral,NA,83
0,1593443,576485,0.4069443,0.4156513,-27435.605,-27425.553,20000,scaled,nomig,neutral,NA,84
0,2030634,124508,1.9201584,1.9195699,-27411.081,-27401.831,20000,scaled,nomig,neutral,NA,85
0,2000068,136032,1.7950051,1.8038218,-27486.266,-27475.953,20000,scaled,nomig,neutral,NA,86
0,2042866,127243,1.9196054,1.8442658,-27413.865,-27408.038,20000,scaled,nomig,neutral,NA,87
0,2107096,59256,3.9812999,4.0462532,-27408.439,-27402.281,20000,scaled,nomig,neutral,NA,88
0,2072817,81722,3.0363105,2.8812601,-27452.571,-27444.453,20000,scaled,nomig,neutral,NA,89
0,1915226,253078,0.9203239,0.9641905,-27355.223,-27349.504,20000,scaled,nomig,neutral,NA,90
0,2085995,78710,3.1052204,2.9868522,-27387.372,-27382.017,20000,scaled,nomig,neutral,NA,91
0,1840017,320721,0.7241614,0.7662845,-27395.115,-27384.906,20000,scaled,nomig,neutral,NA,92
0,2106146,65476,3.6024141,3.6737486,-27370.072,-27361.938,20000,scaled,nomig,neutral,NA,93
0,2063397,120086,2.0101142,1.9462211,-27318.557,-27307.628,20000,scaled,nomig,neutral,NA,94
0,2086940,57378,4.3303438,4.3001508,-27605.838,-27594.189,20000,scaled,nomig,neutral,NA,95
0,2111993,57524,4.1347982,4.2111518,-27411.993,-27401.789,20000,scaled,nomig,neutral,NA,96
0,2098281,67734,3.4265086,3.6162007,-27385.028,-27377.895,20000,scaled,nomig,neutral,NA,97
0,2087825,73379,3.2348802,3.361802,-27439.701,-27430.932,20000,scaled,nomig,neutral,NA,98
0,2052000,88390,2.7552482,2.7677673,-27545.729,-27536.415,20000,scaled,nomig,neutral,NA,99
0,1049085,49047,3.0080704,3.0958146,-30237.99,-30180.907,20000,scaled,nomig,linkedancestor,5percent,0
0,1063271,41375,3.5530135,3.5786982,-30200.617,-30148.438,20000,scaled,nomig,linkedancestor,5percent,1
0,1062103,45237,3.2270403,3.2942157,-30162.636,-30104.716,20000,scaled,nomig,linkedancestor,5percent,2
0,1006615,88257,1.6723026,1.7175437,-30116.977,-30046.763,20000,scaled,nomig,linkedancestor,5percent,3
